nome_cont,nro_proc,ano_fisc,tipo_rec,nro_acordao,dt_secao,relator,decisao,ementa
COIMBRA MATERIAIS PARA CONSTRUCOES LTDA,10860.901048/2011-21,2011,RECURSO VOLUNTARIO,1002-001.821,02/12/2020,Rafael Zedral,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em dar provimento ao Recurso Voluntário. Votou pelas conclusões o conselheiro Ailton Neves da Silva.

(Assinado Digitalmente)
Ailton Neves da Silva- Presidente.

(Assinado Digitalmente)
Rafael Zedral- Relator

Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2002
COMPENSAÇÃO. IRPJ. SALDO NEGATIVO. CRÉDITO COMPROVADO.
Comprovada nos autos a regularidade das parcelas que compuseram o saldo negativo do IRPJ, deve ser homologada a compensação desse crédito com débitos do sujeito passivo, até o limite do crédito reconhecido."
LUCSIM HOTEIS LTDA,10480.900657/2011-38,2011,RECURSO VOLUNTARIO,1002-001.832,02/12/2020,Rafael Zedral,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(Assinado Digitalmente)
Ailton Neves da Silva- Presidente.

(Assinado Digitalmente)
Rafael Zedral- Relator

Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2006
DECLARAÇÃO DE COMPENSAÇÃO. IRPJ. SALDO NEGATIVO. DIREITO CREDITÓRIO NÃO RECONHECIDO. COMPROVAÇÃO INSUFICIENTE.
Não apresentação de prova inequívoca hábil e idônea tendente a comprovar a existência e validade de indébito tributário derivado de saldo negativo de IRPJ, acarreta a negativa de reconhecimento do direito creditório e, por consequência, a não-homologação da compensação declarada em face da impossibilidade da autoridade administrativa aferir a liquidez e certeza do pretenso crédito."
LUCSIM HOTEIS LTDA,10480.900654/2011-02,2011,RECURSO VOLUNTARIO,1002-001.835,02/12/2020,Rafael Zedral,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(Assinado Digitalmente)
Ailton Neves da Silva- Presidente.

(Assinado Digitalmente)
Rafael Zedral- Relator

Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2005
DECLARAÇÃO DE COMPENSAÇÃO. IRPJ SALDO NEGATIVO. DIREITO CREDITÓRIO NÃO RECONHECIDO. COMPROVAÇÃO INSUFICIENTE.
Não apresentação de prova inequívoca hábil e idônea tendente a comprovar a existência e validade de indébito tributário derivado de saldo negativo de IRPJ, acarreta a negativa de reconhecimento do direito creditório e, por consequência, a não-homologação da compensação declarada em face da impossibilidade da autoridade administrativa aferir a liquidez e certeza do pretenso crédito."
FIDELIDADE CATANDUVA PRESTADORA DE SERVICOS DE LIMPEZA LTDA,10850.902866/2012-41,2012,RECURSO VOLUNTARIO,1002-001.822,02/12/2020,Rafael Zedral,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em rejeitar a preliminar suscitada e, no mérito, em negar provimento ao Recurso Voluntário

(Assinado Digitalmente)
Ailton Neves da Silva- Presidente.

(Assinado Digitalmente)
Rafael Zedral- Relator

Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2006
SALDO NEGATIVO. RETENÇÃO NA FONTE. COMPROVAÇÃO. MEIOS DE PROVA. A EFETIVA RETENÇÃO DE IRRF
para fins de composição do saldo negativo de IRPJ pode ser comprovada por outros meios, além da DIRF e dos comprovantes de rendimento.
DECLARAÇÃO DE COMPENSAÇÃO. IRPJ. SALDO NEGATIVO. DIREITO CREDITÓRIO NÃO RECONHECIDO. COMPROVAÇÃO INSUFICIENTE.
Não apresentação de prova inequívoca hábil e idônea tendente a comprovar a existência e validade de indébito tributário derivado de saldo negativo de IRPJ, acarreta a negativa de reconhecimento do direito creditório e, por consequência, a não-homologação da compensação declarada em face da impossibilidade da autoridade administrativa aferir a liquidez e certeza do pretenso crédito."
MAURENIO STORTTI CONSULTORES - CONSULTORIA E TREINAMENTO EMPRESARIAL LIMITADA EPP,11080.911179/2011-67,2011,RECURSO VOLUNTARIO,1001-002.253,03/12/2020,André Severo Chaves,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Sérgio Abelson - Presidente
(documento assinado digitalmente)
André Severo Chaves - Relator

Participaram do presente julgamento os Conselheiros: Sérgio Abelson (Presidente), André Severo Chaves, Andréa Machado Millan e José Roberto Adelino da Silva.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2004
DIREITO CREDITÓRIO. COMPENSAÇÃO. LIQUIDEZ E CERTEZA. SALDO NEGATIVO DE IRPJ. RETENÇÕES NÃO CONFIRMADAS
O reconhecimento do direito creditório condiciona-se à demonstração da liquidez e certeza do crédito. Na apuração do IRPJ, a pessoa jurídica poderá deduzir do imposto devido o valor do imposto de renda retido na fonte, desde que comprovada a retenção e o cômputo das receitas correspondentes na base de cálculo do imposto.
PRESCRIÇÃO INTERCORRENTE. SÚMULA 11, CARF.
Não se aplica a prescrição intercorrente no processo administrativo fiscal.
DCOMP. HOMOLOGAÇÃO TÁCITA. INOCORRÊNCIA.
Nos termos do § 5º, do art. 74 da Lei nº 9.430/1996, o prazo para homologação da compensação declarada pelo sujeito passivo será de 5 (cinco) anos, contado da data da entrega da declaração de compensação. Tendo o despacho decisório sido proferido dentro deste prazo, não há que se falar em homologação tácita."
MAURENIO STORTTI CONSULTORES - CONSULTORIA E TREINAMENTO EMPRESARIAL LIMITADA EPP,11080.911177/2011-78,2011,RECURSO VOLUNTARIO,1001-002.252,03/12/2020,André Severo Chaves,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Sérgio Abelson - Presidente
(documento assinado digitalmente)
André Severo Chaves - Relator

Participaram do presente julgamento os Conselheiros: Sérgio Abelson (Presidente), André Severo Chaves, Andréa Machado Millan e José Roberto Adelino da Silva.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2001
DIREITO CREDITÓRIO. COMPENSAÇÃO. LIQUIDEZ E CERTEZA. SALDO NEGATIVO DE IRPJ. RETENÇÕES NÃO CONFIRMADAS
O reconhecimento do direito creditório condiciona-se à demonstração da liquidez e certeza do crédito. Na apuração do IRPJ, a pessoa jurídica poderá deduzir do imposto devido o valor do imposto de renda retido na fonte, desde que comprovada a retenção e o cômputo das receitas correspondentes na base de cálculo do imposto.
PRESCRIÇÃO INTERCORRENTE. SÚMULA 11, CARF.
Não se aplica a prescrição intercorrente no processo administrativo fiscal.
DCOMP. HOMOLOGAÇÃO TÁCITA. INOCORRÊNCIA.
Nos termos do § 5º, do art. 74 da Lei nº 9.430/1996, o prazo para homologação da compensação declarada pelo sujeito passivo será de 5 (cinco) anos, contado da data da entrega da declaração de compensação. Tendo o despacho decisório sido proferido dentro deste prazo, não há que se falar em homologação tácita."
IBROWSE - CONSULTORIA & INFORMATICA LTDA,11065.913789/2011-93,2011,RECURSO VOLUNTARIO,1001-002.242,02/12/2020,André Severo Chaves,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Sérgio Abelson - Presidente
(documento assinado digitalmente)
André Severo Chaves - Relator

Participaram do presente julgamento os Conselheiros: Sérgio Abelson (Presidente), André Severo Chaves, Andréa Machado Millan e José Roberto Adelino da Silva.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2003
DIREITO CREDITÓRIO. COMPENSAÇÃO. LIQUIDEZ E CERTEZA. SALDO NEGATIVO DE IRPJ. RETENÇÕES NÃO CONFIRMADAS
O reconhecimento do direito creditório condiciona-se à demonstração da liquidez e certeza do crédito. Na ausência do informe de rendimentos emitido pela fonte pagadora, cabe ao interessado comprovar o recebimento líquidos dos valores constantes nas notas fiscais, sob pena de não reconhecimento das retenções indicadas.
SÚMULA CARF, Nº 143.
A prova do imposto de renda retido na fonte deduzido pelo beneficiário na apuração do imposto de renda devido não se faz exclusivamente por meio do comprovante de retenção emitido em seu nome pela fonte pagadora dos rendimentos."
BANCO DE COBRANCAS LTDA,10384.001074/2010-30,2010,RECURSO VOLUNTARIO,1001-002.236,02/12/2020,André Severo Chaves,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em dar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Sérgio Abelson - Presidente
(documento assinado digitalmente)
André Severo Chaves - Relator
Participaram do presente julgamento os Conselheiros: Sérgio Abelson (Presidente), André Severo Chaves, Andréa Machado Millan e José Roberto Adelino da Silva.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2008
AUTO DE INFRAÇÃO. LUCRO ARBITRADO. OMISSÃO DE RECEITAS. DEPÓSITOS BANCÁRIOS. CHEQUES DEVOLVIDOS. CHEQUES EMITIDOS E ESTORNADOS. NÃO CONFIGURAÇÃO DE RECEITA.
Os cheques devolvidos representam estornos de depósitos anteriormente efetuados, portanto, não configuram receitas, e não podem compor a base de cálculo de IRPJ. Tampouco devem ser considerados como receita os estornos de cheques emitidos pela própria contribuinte."
TANAGRO SA,13005.000980/2008-16,2008,RECURSO VOLUNTARIO,1201-004.095,14/10/2020,Allan Marcel Warwar Teixeira,"Vistos, discutidos e relatados os presentes autos.
Acordam os membros do colegiado, por voto de qualidade, em conhecer parcialmente do recurso para, no mérito, negar provimento. Vencidos os conselheiros Gisele Barra Bossa, Alexandre Evaristo Pinto, Jeferson Teodorovicz e André Severo Chaves que votaram no sentido de conhecer integralmente do recurso e, no mérito, negar provimento. A conselheira Gisele Barra Bossa irá apresentar declaração de voto.





(assinado digitalmente)
Ricardo Antonio Carvalho Barbosa  Presidente

(assinado digitalmente)
Allan Marcel Warwar Teixeira  Relator

Participaram da sessão de julgamento os conselheiros Neudson Cavalcante Albuquerque, Gisele Barra Bossa, Allan Marcel Warwar Teixeira, Alexandre Evaristo Pinto, Efigenio de Freitas Junior, Jeferson Teodorovicz, Andre Severo Chaves (suplente convocado), Ricardo Antonio Carvalho Barbosa (Presidente).","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 1999
DIREITO DE REVISAR SALDO NEGATIVO DE IRPJ DE EXERCÍCIOS ANTERIORES. NECESSIDADE DE AVERIGUAÇÃO DA LIQUIDEZ E CERTEZA DO CRÉDITO
O exame de documentos das pessoas jurídicas não sofre limitações na sua retroação temporal vinculadas ao qüinqüênio decadencial. Desse modo, para conferir a regularidade/legitimidade do saldo negativo de IRPJ, informado nos PER/DCOMP, o Fisco não está impedido de examinar documentos referentes a exercícios anteriores.

ASSUNTO: NORMAS GERAIS DE DIREITO TRIBUTÁRIO
Ano-calendário: 1999
COMPENSAÇÃO. HOMOLOGAÇÃO TÁCITA
O prazo para homologação da compensação declarada pelo sujeito passivo é de 5 anos, contado da data da entrega da declaração de compensação. Assim, se o prazo transcorrido entre a data da transmissão do PER/DCOMP e a data da ciência do despacho decisório for inferior a cinco anos, não ocorre a homologação tácita das compensações declaradas."
NORD ELECTRIC SOLUCOES EM ENGENHARIA ELETRICA LTDA,10925.904773/2010-79,2010,RECURSO VOLUNTARIO,1001-002.255,03/12/2020,Sérgio Abelson,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao recurso.
(documento assinado digitalmente)
Sérgio Abelson  Presidente e Relator
Participaram do presente julgamento os Conselheiros: Sérgio Abelson (Presidente), José Roberto Adelino da Silva, Andréa Machado Millan e André Severo Chaves.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2005
IRRF. COMPENSAÇÃO
Para fins de determinação do saldo do imposto de renda a pagar ou a ser compensado, a pessoa jurídica pode deduzir do imposto devido o valor do imposto pago ou retido na fonte, desde que as receitas correspondentes tenham sido computadas na determinação do lucro real e ficar comprovado, mediante documentação hábil e idônea, que o contribuinte sofreu a retenção deste imposto no período correspondente."
SENDI ENGENHARIA E CONSTRUCOES LTDA.,10825.722940/2012-55,2012,RECURSO VOLUNTARIO,1302-004.892,13/10/2020,CLEUCIO SANTOS NUNES,"Acordam os membros do colegiado, Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao recurso voluntário, nos termos do voto condutor. Este julgamento seguiu a sistemática dos recursos repetitivos, sendo-lhe aplicado o decidido no Acórdão nº 1302-004.891, de 13 de outubro de 2020, prolatado no julgamento do processo 10825.722939/2012-21, paradigma ao qual o presente processo foi vinculado.

(assinado digitalmente)
Luiz Tadeu Matosinho Machado  Presidente Redator
Participaram da sessão de julgamento os Conselheiros: Paulo Henrique Silva Figueiredo, Gustavo Guimarães da Fonseca, Ricardo Marozzi Gregório, Flávio Machado Vilhena Dias, Andréia Lúcia Machado Mourão, Cleucio Santos Nunes, Fabiana Okchstein Kelbert e Luiz Tadeu Matosinho Machado (Presidente).","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Período de apuração: 01/04/2008 a 30/06/2008
COMPENSAÇÃO. SALDO NEGATIVO DE IRPJ. LUCRO PRESUMIDO. REGIME DE EMPREITADA TOTAL. NECESSIDADE DE COMPROVAÇÃO
Para a homologação de compensação de crédito decorrente de saldo negativo de IRPJ apurado no regime de lucro presumido, o percentual de 8% será aplicado quando o contribuinte comprovar que a contratação se deu em regime de empreitada total com fornecimento de material empregado na obra. COMPENSAÇÃO ÔNUS DA PROVA. Por se tratar de procedimento de compensação, compete ao contribuinte o ônus de comprovar que executou a mão de obra e forneceu os materiais contratados. A ausência de um dos contratos ou a simples juntada de notas fiscais demonstra fragilidade na instrução processual que impede o reconhecimento integral do crédito. GLOSA DA DIFERENÇA DE VALORES. É cabível a glosa dos valores não efetivamente comprovados pelo despacho decisório, o que decorre logicamente do afastamento do percentual de 8% e substituição pelo percentual de 32% sobre a base de cálculo do IRPJ em que não se comprovou o regime de empreitada total. Recurso voluntário improvido."
