cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
05.197.443/0001-38,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Participação. Como Sócia Ou Acionista. em Outras Empresas. Predominantemente de Assistência Médica. Bem Como A Realização de Investimentos Diretos E A Exploração de Atividades de Prestação de Serviços,5634383,1129471,362818,12453686,7261885,4575898,1042335,315089,4876674,3605855,3847981,894996,242067,2336148,472003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.263.189/0001-02,HELBOR EMPREENDIMENTOS S.A.,Incorporação de Imoveis,1290899,-65862,21257,4627984,1603482,633604,-401403,19555,4138007,1149055,518142,-357021,21377,4968060,1795323,901954,-94718,22451,5359180,1875644,1307399,155380,29974,5083155,1870312,1602005,348071,45084,5052055,1779016,1944809,492521,46737,4903990,1713374,1772951,494006,49663,4185253,1424803,1178528,274021,32316,3011956,1094788
92.749.225/0001-63,HERCULES S.A. FABRICA DE TALHERES,Fabricação E A Comercialização de Toda A Espécie de Talheres E Outros Artigos de Mesa Para Uso Doméstico. Artigos de Adorno. Beleza. Higiene. Móveis. Material Escolar. de Escritório E Profissional.,1099,215,37,9873,-382972,1501,1642,297,9064,-386408,2547,-18792,0,8593,-387752,2712,3197,152,8424,-335244,1758,-6738,0,7394,-338325,3668,-27122,0,6739,-334022,3512,-38744,0,5970,-414127,3903,-32002,0,6482,-380277,3104,-39060,0,6755,-347197
12.648.327/0001-53,HIDROVIAS DO BRASIL S.A.,Operador de Logística Hidroviária Para Clientes de Commodities Agrícolas. Minerais. Combustíveis E Derivados E Carga. Integrando O Transporte Por Barcaças Com Operação de Terminais de Origem E Destino,937945,94476,40474,4717665,1543571,1258130,182736,11700,4771546,1614394,790572,34222,23172,3686204,1319431,392599,-86865,2356,3680118,1180830,196223,-50713,9351,2906031,1115190,75429,-14563,1730,1450754,729369,3088,-28963,0,731645,513669,0,-15535,0,230484,226483,0,0,0,99287,96647
33.200.049/0001-47,HOTEIS OTHON S.A.,Prestação de Serviços Na Indústria Hoteleira,90970,-131307,4,477632,-383862,78537,-82731,301,482489,-245702,76856,-37675,412,540448,-131797,143684,-2208,3918,576959,-89363,144730,-25163,710,572730,-83226,169704,1191,3235,549646,-57205,174236,93066,8097,537959,-54693,152651,-26301,3404,517900,-165867,130295,-55414,433,520338,-133467
02.932.074/0001-91,HYPERA S.A.,Fabricacão de Medicamentos Alopáticos Para Uso Humano,3294749,1100091,29640,11919475,8710100,3724309,1229859,-93065,10556983,8267673,3499899,1213347,6153,10130437,7737759,3288747,876848,86111,11485416,8810602,2956649,368002,-33413,15823430,8030455,4680348,493324,-209394,13887691,7475963,4258740,313901,-334378,12501987,7078577,3873683,345713,-223698,12656511,6868366,0,0,0,0,0
43.185.362/0001-07,IGB ELETRÔNICA S/A,Eletroeletrónica,5278,-64510,0,248981,-903745,4530,-72113,0,259368,-839236,4522,44003,0,243166,-767123,8337,-97456,0,229278,-811126,8563,-77405,0,219172,-713670,8342,-20686,0,207418,-636265,3361,-73398,0,817903,-99252,14515,171895,0,745013,-55710,0,-37807,0,804367,-232517
08.159.965/0001-33,IGUA SANEAMENTO S.A.,Prestação de Serviços Públicos de água E Esgoto.,898502,76810,20689,2522778,837161,744954,41531,15621,2190204,646262,574184,73594,8362,1808290,452446,485009,-101737,5838,1628572,131225,469874,-60834,3304,1605965,214490,564568,29715,3343,1637121,280471,487104,26111,2571,1366415,270362,337972,3402,1071,1033865,240889,191365,-18958,833,656457,132991
51.218.147/0001-93,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,Empresa Full Service No Setor de Shopping Centers. Suas Atividades Englobam A Concepção. O Planejamento. O Desenvolvimento E A Administração de Shopping Centers Regionais E Complexos Imobiliários.,754270,400442,57998,5628893,3000062,721526,329506,43745,5290203,2846334,692156,264846,47909,5050385,2752541,668147,203208,52328,5230634,2741538,636254,241002,49946,5057018,2633980,577166,252499,43007,4910968,2493805,418869,224956,37799,4618823,2317533,382520,312920,42153,3530150,1777501,328728,188677,28497,2851787,1578861
60.637.238/0001-54,INDUSTRIAS J B DUARTE S.A.,Comércio Atacadista Especializado em Outros Produtos Alimenticios. Reflorestamento. Setor Imobiliario. Etc.,0,-4343,0,191124,67653,0,16629,0,139904,14496,0,-1437,0,97670,-2133,0,-40384,1366,91206,-8290,0,-3414,807,129906,36069,0,-9392,842,125152,40290,0,2353,0,118794,42441,0,-2092,0,117113,35071,0,-6559,0,103988,25571
56.720.428/0001-63,INDUSTRIAS ROMI S.A.,Indústria E Comércio de Máquinas-ferramenta,765506,166093,0,1367241,758882,743462,87169,0,1242087,697603,672873,55093,0,1075423,643500,586917,-48217,0,1084120,601532,606632,8855,0,1218718,672995,648611,12331,0,1288996,644161,667423,34510,4438,1421130,649923,599105,-39088,2697,1614560,637270,631054,-228,10451,1781434,679744
76.627.504/0001-06,INEPAR S.A. INDUSTRIA E CONSTRUCOES,Fabricação de Equipamentos E Sistemas Elétricos . Fabricação de Torres E Acessórios Para Transmissão de Energia E Telecomunicações. Fabricação de Bens de Capital E Sitemas Industriais Sob Encomenda.,13143,-450814,0,1408179,-2015998,48867,-314646,0,1473029,-1587478,39803,-317277,-279,1808994,-1283850,68850,-601806,25217,1949395,-967463,451017,-344382,-176511,2285555,-349448,619331,-838532,-1986,2670504,-1503127,1069064,-208247,-1840,3269834,103084,1205865,-139355,6530,2970018,295239,1536493,21362,17426,3760059,633091
19.378.769/0001-76,INSTITUTO HERMES PARDINI S.A.,Prestação de Serviços de Medicina Diagnóstica.,1353634,203106,30939,1625791,696456,1204709,151204,12586,1245637,606817,1117038,174218,35525,1144135,537596,899414,156751,53128,1016582,407236,771786,128602,44506,797291,417082,696529,131445,42534,705818,355800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.611.768/0001-76,INTER CONSTRUTORA E INCORPORADORA S.A.,Incorporação de Empreendimentos Imobiliários E Construção de Edifícios,281026,52041,0,675412,51783,194003,52499,0,364198,24502,116665,17601,0,70922,8509,88312238,12573771,0,35193840,12371189,45561968,16730357,0,34592367,15447929,24799299,9505685,0,31650867,10517571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.314.329/0001-20,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,Setor de Varejo de Alimentação,1603262,-7959,8671,2685650,1145106,1582081,7723,8472,1638482,1015218,1494511,19718,8773,1512424,1003965,1540638,-64423,-213,1503408,1040796,1615058,-128616,0,2226023,1204128,439238,-11550,0,1885672,911072,294470,39765,0,392543,157688,253501,42212,0,253936,134762,0,0,0,0,0
01.548.981/0001-79,INVESTIMENTOS BEMGE S.A.,Investimentos,13047,12013,3941,228305,227717,13076,11927,2202,220328,220026,19772,18183,6071,213902,209584,0,23786,8044,203645,197607,0,21421,7181,187911,182041,0,16427,5732,171180,167935,0,11675,2489,160552,157239,0,11827,3998,152148,149794,0,14510,4824,144440,142075
03.758.318/0001-24,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,Foi Constituída Sob A Forma de Sociedade Anónima E Tem Como Objeto Social A Participação em Outras Sociedades.,3560693,-1287892,57939,23821042,-280215,3320146,-505214,66742,25518144,1791709,4067524,-696536,63293,25489174,2226246,4039474,766525,1038867,25581884,2579255,4280285,-1670275,72006,29145534,3348636,5731119,-345600,86307,26399953,4397128,4856925,290660,49894,23679390,4627071,2290008,48816,48196,20147583,4013812,1292099,-76399,40281,4785647,1685465
61.156.113/0001-75,IOCHPE MAXION S.A.,Fabricação E Comercialização de Produtos Do Setor Automotivo E Equipamentos Ferroviários.,10016395,506351,178240,9375411,3496976,9616299,480674,148043,9019190,3198527,7487940,149348,136828,7922248,2630505,6816454,134832,112502,7057115,2017077,6846456,132842,68873,8015082,2456490,5911677,161243,80014,6289024,1604503,6126493,240635,81347,6035705,1445160,5269424,135646,72318,5475192,1090910,2905139,343078,85906,2058173,918620
92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,Fabricação de Papel Para Embalagem. Embalagens de Papelão Ondulado E Resinas.,898779,-29525,299,1579546,336491,799159,38048,406,1526664,307394,701586,-55387,525,1548070,343955,776795,-35112,1348,1679951,445201,758758,962,1360,1658591,396628,738499,28376,400,1678837,497625,604241,56109,1284,1631521,488241,0,0,0,0,0,0,0,0,0,0
33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,Operações de Resseguro E Retrocessão,6610019,717233,-737317,17501252,3945150,5764638,829010,-604557,15933980,3631648,4737772,584701,-1994086,14343210,3581183,4162175,422990,-1252284,13585195,3328217,3746111,220585,-1395698,14368448,3174595,2993057,270423,-1299165,12641395,2953932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.397.080/0001-96,ITAPEBI GERACAO DE ENERGIA S.A.,Geração de Energia Elétrica,217532,68972,16594,630845,317471,320772,61234,23130,807139,310365,386301,138348,39893,923837,287309,417607,267866,73474,704820,374281,382279,191406,73067,842695,370969,363307,127469,40256,638125,313778,0,0,0,734825,418467,0,0,0,0,0,0,0,0,0,0
60.872.504/0001-23,ITAU UNIBANCO HOLDING S.A.,A Sociedade Tem Por Objeto A Atividade Bancária em Todas As Modalidades Autorizadas. Inclusive A de Operações de Câmbio.,193037000,27813000,0,1637481000,1159830000,174812000,25639000,0,1552797000,1119734000,189853000,23225000,0,1436239000,1024584000,174319000,23582000,0,1353241000,910300000,129574000,26156000,0,1276415000,880057000,129035000,21861000,0,1127203000,779284000,94797000,16522000,0,1027297000,724496000,101582000,13191000,0,957154000,679706000,103601000,14610000,0,818136000,573354000
61.532.644/0001-15,ITAUSA S.A.,Gestão de Participações Societárias (holding),5008000,10730000,165000,67476000,58357000,5375000,9819000,329000,66003000,58079000,4969000,8109000,65000,64267000,54919000,4687000,8038000,81000,59020000,50679000,4885000,8976000,40000,54830000,47871000,5021000,8263000,56000,48594000,42239000,5289000,6251000,144000,41929000,35974000,4883000,4940000,102000,39050000,32674000,5274000,5078000,77000,37416000,31775000
14.998.371/0001-19,J. MACEDO S.A.,Industrialização de Massas Alimentícias. Farinhas. Misturas Para Bolo Domésticas. Biscoitos. Sobremesas E Derivados de Trigo.,1797647,-63882,-1075,1711262,476958,1732496,24270,-94,1698517,623339,1505091,31596,124,1509340,566673,1648100,82307,21904,1112777,549180,1465949,110698,3273,1232958,518896,1508942,94186,15609,1022591,456863,1354911,55350,294,865258,398253,1193048,82616,4998,704981,380186,1226979,33210,1770,634684,325900
02.916.265/0001-60,JBS S.A.,,204523575,7497800,1110003,126339387,32482049,181680244,-1098358,-247388,114145831,27946209,163169981,1151756,1274652,108695951,26140668,170380526,436380,286818,102815763,24914627,162914526,7878681,2979735,122502967,29621378,120469719,4191823,1656879,82315588,25873030,92902798,1774995,166231,68670221,23133254,75696710,1382286,176742,49756193,21433306,61796761,-230108,520711,47410884,21599188
60.543.816/0001-93,JEREISSATI PARTICIPACOES S.A.,,755353,371729,57998,5748047,3023770,722606,309195,43745,5394908,2855040,693235,227763,47911,5164878,2762591,668710,135971,58785,5403744,2783984,636659,-521200,49946,5441706,2745378,577568,-324703,44682,5832020,3164741,419288,119162,37799,5768722,2989110,382816,220907,43945,4869496,2601815,0,0,0,4349478,2529445
08.294.224/0001-65,JHSF PARTICIPACOES S.A.,Empresa Que Investe No Brasil em Negócios Voltados A Atender O Público de Alta Renda. Focada No Desenvolvimento E Administração de Projetos de Shopping Centers. Hotéis E E Restaurantes E Incorporação.,636789,472589,10281,5837934,3056788,485694,211103,6712,4815061,2267248,355885,40352,11358,4466181,2147780,385045,-448457,6273,4682658,2176788,630961,246376,14157,6508751,2621276,602840,101896,0,5805377,2289655,671078,479752,0,5301466,2216788,898380,354996,0,4278331,1922265,0,0,0,0,0
33.035.536/0001-00,JOAO FORTES ENGENHARIA S.A.,Incorporação E Construção de Imóveis; Execução Por Administração de Obras de Construção Civil.,0,0,0,0,0,98781,-436848,10950,1754147,260839,160486,-532132,9238,2178230,510035,236146,-464439,10458,2641547,507992,561638,-257183,22829,3045479,972089,799197,-155312,27119,3194502,868287,971769,66931,20277,3400251,999109,580796,9541,13228,2623695,715741,644959,81672,14307,1831861,428266
87.456.562/0001-22,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,Beneficiamento de Arroz E Participações,1218630,1665,7350,1802268,670282,1106752,34012,5741,1815501,660581,1069282,35353,16859,1712639,639999,1172311,69056,36079,1667337,621469,1056831,50827,23358,1566240,595601,1028233,40942,14087,1399719,573265,987306,49092,23445,1342254,478367,930344,69111,29918,1210282,495549,737262,42958,20558,1031095,468178
52.548.435/0001-79,JSL S.A.,,9686209,431126,68869,20268234,2379963,8075389,279498,72495,15873954,1248499,7255804,33929,30178,11500924,1189320,6523116,-249470,21844,8868383,608989,5989912,67222,13924,8744054,1019873,5539194,111137,38697,7489311,1044879,4746520,136828,43258,5830098,1014659,4021596,116961,39226,4568939,949921,0,0,0,0,0
82.640.558/0001-04,KARSTEN S.A.,Fabricação. Exportação. Importação E O Comércio Atacadista E Varejista de Fios. Tecidos E Produtos Têxteis em Geral.,337310,-12138,0,380810,-272598,316639,-52989,0,341884,-260167,309776,-52966,0,322722,-208188,311270,-96185,0,314602,-209315,262713,-49083,105,276824,-115831,332851,-99980,147,320555,-69354,336133,-36795,315,364033,-1348,346503,256,243,420893,36367,354591,-67367,1068,353028,38819
91.983.056/0001-69,KEPLER WEBER S.A.,Indústria E Comércio de Produtos E Matérias Primas Relacionadas A Metalurgia. Importação E Exportação. Prestação de Serviços. Comércio de Produtos Destinados A Agroindústria.,583465,47526,4208,676102,467384,576300,15265,4639,704273,441025,578375,-37200,2342,716246,435349,475298,-38631,1765,763805,468852,705979,-5471,1062,791235,491362,905841,135411,22591,850775,508814,594762,78686,18371,674199,364082,424441,34300,6371,587901,320973,0,0,0,0,0
89.637.490/0001-45,KLABIN S.A.,Empresa Brasileira de Base Florestal. Produtora de Papéis E Cartões Para Embalagens. Embalagens de Papelão Ondulado E Sacos Industriais. Além de Ser Recicladora E Produtora de Toras Para Serrarias.,10271839,864526,-58123,34703082,6501273,10016461,-68581,322236,29633743,6533230,8373378,838668,299948,30549541,7234151,7090798,3214935,190023,29313729,7100336,5687589,-1947808,30210,26268180,5352340,4893882,1053623,-154171,21173855,7058324,4599337,380218,241442,14919496,5392667,4163670,1096456,133945,14097903,5420921,3889151,296137,215770,12741595,4958302
26.462.693/0001-28,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,Incorporadora Imobiliária,193804,53729,1371,365872,115522,84733,25049,557,106235,51382,10140,-4033,0,41771,7887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.357.251/0001-53,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,Fabricação de Instrumentos Não Eletronicos E Utensilios Para Uso Médico. Odontológico E De laboratório;,123661,7619,2,215358,98341,107788,-5781,40,174980,80066,88430,-12848,0,177119,77142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
